Rank,Name,TM,PSN,Points,Games Played,PPG
599,Kendall Blanton,LAR,TE,0,1,0
599,Michael Burton,WAS,RB,0,10,0
599,Travis Fulgham,DET,WR,0,2,0
599,Jeremy Kerley,FA,WR,0,1,0
599,Alex Tanney,NYG,QB,0,1,0
599,Steven Mitchell,HOU,WR,0,3,0
599,Spencer Schnell,TB,WR,0,1,0
599,Brandin Bryant,CLE,RB,0,4,0
599,Jake Butt,DEN,TE,0,1,0
599,Davion Davis,MIN,WR,0,2,0
599,Erik Swoope,FA,TE,0,1,0
599,Khari Lee,DET,TE,0,1,0
599,Graham Gano,CAR,K,0,1,0
599,DuJuan Harris,FA,RB,0,1,0
599,Jonathan Stewart,FA,RB,0,1,0
599,Saeed Blacknall,ARI,WR,0,1,0
599,Jeremy Langford,FA,RB,0,1,0
599,Brock Osweiler,FA,QB,0,1,0
599,Jace Sternberger,GB,TE,0,5,0
599,Ryan Nall,CHI,RB,0,7,0
599,Detrez Newsome,LAC,RB,0,1,0
599,Jason Vander Laan,Multi,TE,0,2,0
599,C.J. Beathard,SF,QB,0,1,0
599,Leonte Carroo,FA,WR,0,1,0
599,Gary Jennings,Multi,WR,0,1,0
599,Brandon Weeden,FA,QB,0,1,0
599,Nsimba Webster,LAR,WR,0,4,0
599,Josh Doctson,MIN,WR,0,1,0
599,Freddie Martino,FA,WR,0,1,0
599,Robert Turbin,SEA,RB,0,1,0
599,Marcus Kemp,KC,WR,0,1,0
599,J'Mon Moore,CLE,WR,0,1,0
599,Andrew Luck,FA,QB,0,1,0
599,Alan Cross,FA,TE,0,1,0
599,JoJo Natson,LAR,WR,0,12,0
599,Alonzo Russell,FA,WR,0,1,0
599,Mason Schreck,CIN,TE,0,3,0
599,Darvin Kidsy,WAS,WR,0,3,0
599,Samaje Perine,Multi,RB,0,6,0
599,A.J. Green,CIN,WR,0,1,0
599,Mark Sanchez,FA,QB,0,1,0
599,Taylor Heinicke,WAS,QB,0,1,0
599,Tyrone Swoopes,SEA,TE,0,5,0
599,Jehu Chesson,WAS,WR,0,1,0
599,Keith Kirkwood,NO,WR,0,1,0
599,Martavis Bryant,FA,WR,0,1,0
599,Jerome Cunningham,WAS,TE,0,3,0
599,Cooper Rush,DAL,QB,0,2,0
599,Ed Dickson,SEA,TE,0,1,0
599,Joe Webb,HOU,QB,0,1,0
599,Kaelin Clay,FA,WR,0,1,0
599,Josh Malone,NYJ,WR,0,2,0
599,Chandler Cox,MIA,RB,0,12,0
599,Tony Jones,FA,WR,0,1,0
599,Andy Jones,MIA,WR,0,1,0
599,Sam Bradford,FA,QB,0,1,0
599,Kelvin Benjamin,NYG,WR,0,1,0
599,J.J. Jones,FA,WR,0,1,0
599,Christine Michael,FA,RB,0,1,0
599,AJ McCarron,HOU,QB,0,2,0
599,Justin Hardee,NO,WR,0,15,0
599,Noah Brown,DAL,WR,0,1,0
599,Rod Streater,FA,WR,0,1,0
599,David Grinnage,FA,TE,0,1,0
599,Donnie Ernsberger,TEN,RB,0,1,0
599,Rod Smith,Multi,RB,0,6,0
599,Mike Gillislee,FA,RB,0,1,0
599,Cole Wick,Multi,TE,0,1,0
599,Brandon Tate,FA,WR,0,1,0
599,Mose Frazier,FA,WR,0,1,0
599,Jordan Chunn,DAL,RB,0,1,0
599,Nate Sudfeld,PHI,QB,0,1,0
599,Victor Bolden,DET,WR,0,1,0
599,Kamar Aiken,FA,WR,0,1,0
599,Richard Rodgers,PHI,TE,0,1,0
599,Janarion Grant,FA,WR,0,1,0
599,D.J. Foster,ARI,RB,0,6,0
599,Alex Smith,WAS,QB,0,1,0
599,Keon Hatcher,Multi,WR,0,1,0
599,Derrick Coleman,FA,RB,0,1,0
599,Terrance Williams,FA,WR,0,1,0
599,Jason Croom,BUF,TE,0,1,0
599,Doug Baldwin,FA,WR,0,1,0
599,Rob Gronkowski,TB,TE,0,1,0
599,Brian Parker,NO,TE,0,1,0
599,Jerell Adams,Multi,TE,0,1,0
599,Justin Davis,ARI,RB,0,1,0
599,Lance Lenoir,BUF,WR,0,1,0
599,Jordan Franks,CIN,TE,0,1,0
599,Bradley Marquez,FA,WR,0,1,0
599,Brandon Marshall,FA,WR,0,1,0
599,Eli Rogers,FA,WR,0,1,0
599,Drew Anderson,ARI,QB,0,1,0
599,Cullen Gillaspia,HOU,RB,0,15,0
599,Stevan Ridley,FA,RB,0,1,0
599,Logan Paulsen,HOU,TE,0,1,0
599,Garrett Celek,SF,TE,0,6,0
599,Taywan Taylor,CLE,WR,0,4,0
599,Matt Lengel,IND,TE,0,2,0
599,Trenton Cannon,NYJ,RB,0,4,0
599,Joshua Dobbs,Multi,QB,0,1,0
599,Daurice Fountain,IND,WR,0,1,0
599,Tre Madden,FA,RB,0,1,0
599,James Jones,FA,WR,0,1,0
599,Travaris Cadet,FA,RB,0,1,0
599,John Ursua,SEA,WR,0,2,0
599,Jermaine Gresham,FA,TE,0,1,0
599,Cam Phillips,FA,WR,0,1,0
599,Mike Wallace,FA,WR,0,1,0
599,Keenan Reynolds,FA,WR,0,1,0
599,Sebastian Janikowski,FA,K,0,1,0
599,Lavon Coleman,FA,RB,0,1,0
599,Jordan Thomas,HOU,TE,0,5,0
599,Darrius Heyward-Bey,FA,WR,0,1,0
599,David Fluellen,TEN,RB,0,2,0
599,Deonte Thompson,FA,WR,0,1,0
599,Cameron Artis-Payne,FA,RB,0,1,0
599,Ricky Ortiz,NO,RB,0,1,0
599,Brandon Dillon,MIN,TE,0,1,0
599,Joe Williams,FA,RB,0,1,0
599,Giorgio Tavecchio,TEN,K,0,1,0
599,Chad Henne,KC,QB,0,1,0
599,LeGarrette Blount,FA,RB,0,1,0
599,Beau Brinkley,TEN,TE,0,15,0
599,Justin Hunter,FA,WR,0,1,0
599,Derrick Willies,CLE,WR,0,1,0
599,David Morgan,MIN,TE,0,1,0
599,Brian Quick,FA,WR,0,1,0
599,Markus Wheaton,FA,WR,0,1,0
599,Matt McCrane,FA,K,0,1,0
599,Jordan Reed,WAS,TE,0,1,0
784,Tim Boyle,GB,QB,-0.1,3,0
785,Nick Mullens,SF,QB,-0.3,2,-0.2
786,Garrett Gilbert,CLE,QB,-0.3,6,-0.1
787,Sean Mannion,MIN,QB,-0.5,2,-0.3
788,Jarrett Stidham,NE,QB,-0.6,3,-0.2
789,Blake Bortles,LAR,QB,-0.8,4,-0.2
790,Darrius Shepherd,GB,WR,-1.4,6,-0.2
791,Michael Walker,JAC,WR,-1.5,7,-0.2
792,Quincy Enunwa,NYJ,WR,-1.9,1,-1.9
793,Greg Dortch,Multi,WR,-2,2,-1
793,Ray-Ray McCloud,Multi,WR,-2,6,-0.3
795,Corey Clement,PHI,RB,-4,4,-1
